index;x;y;z
0;-0.132431;-0.143768;-0.544907
1;-0.215851;-0.075943;-0.387070
2;-0.225357;-0.147156;-0.498352
3;0.242615;-0.280975;-0.269989
4;-0.111710;-0.615112;-0.558212
5;-0.368027;-0.493835;-1.189590
6;-0.340683;-0.691833;-1.355316
7;-0.329590;-0.736496;-1.242035
8;-0.457642;-0.476532;-1.027115
9;-0.547928;-0.404999;-0.881744
10;-0.774597;-0.365845;-0.641510
11;-0.663376;-0.330414;-0.366898
12;-0.653046;-0.242432;-0.207672
13;-0.617661;-0.199600;-0.112976
14;-0.906982;-0.094284;-0.230057
15;-0.885681;0.013214;-0.233582
16;-1.259567;0.305023;-0.281113
17;-1.363525;0.353348;-0.417053
18;-1.483459;0.414810;-0.263565
19;-1.221771;0.281540;-0.319763
20;-1.421310;0.395508;-0.200546
21;-1.081833;0.236816;-0.223572
22;-0.797485;0.115524;-0.129623
23;-0.808273;0.067581;-0.047516
24;-0.835693;0.032913;-0.119263
25;-1.055206;0.038193;-0.143280
26;-1.303467;0.067444;-0.241455
27;-1.600861;0.083252;-0.274246
28;-1.670731;0.160675;-0.344299
29;-1.507385;0.137634;-0.371384
30;-1.389725;0.283417;-0.299805
31;-1.443848;0.409378;-0.234909
32;-1.310410;0.400726;-0.192413
33;-1.093216;0.327377;-0.212769
34;-0.985016;0.358398;-0.171173
35;-0.953659;0.422424;-0.150543
36;-0.907486;0.472931;-0.101471
37;-0.835938;0.489075;-0.103210
38;-0.759308;0.468292;-0.107040
39;-0.874298;0.564270;-0.044815
40;-0.923752;0.441696;-0.128220
41;-1.167328;0.804092;0.059341
42;-1.357910;0.574020;-0.028488
43;-1.371429;0.404724;-0.066116
44;-1.251663;0.237137;-0.115875
45;-1.413681;0.205811;-0.004303
46;-1.247223;0.146698;-0.123260
47;-1.426819;0.132294;-0.099762
48;-1.524734;0.048080;-0.174454
49;-1.618240;-0.037811;-0.274155
50;-1.481781;-0.121201;-0.351044
51;-1.549683;0.101730;-0.251343
52;-1.534653;0.311920;-0.189301
53;-1.565094;0.492554;-0.173889
54;-1.194763;0.508469;-0.177689
55;-1.002670;0.449417;-0.160675
56;-1.064621;0.488983;-0.110611
57;-1.018158;0.514740;-0.052063
58;-1.028244;0.480438;-0.099442
59;-1.000870;0.517517;-0.105347
60;-1.014481;0.600204;-0.129807
61;-0.706436;0.537415;-0.166382
62;-0.926056;0.589203;-0.135864
63;-1.233322;0.521713;0.081665
64;-1.155746;0.388565;0.094910
65;-1.090744;0.321854;0.008072
66;-1.118668;0.183426;-0.104263
67;-1.130692;0.280441;-0.293976
68;-1.304703;0.273392;-0.229752
69;-1.566757;0.296722;-0.216263
70;-1.612717;0.037216;-0.313828
71;-1.535904;-0.043930;-0.355652
72;-1.319000;-0.105194;-0.327759
73;-1.300766;0.206192;-0.244186
74;-1.278336;0.293365;-0.256729
75;-1.104172;0.297104;-0.244781
76;-1.033279;0.339020;-0.237289
77;-1.052536;0.390900;-0.219696
78;-1.112183;0.469635;-0.151581
79;-1.082825;0.519196;-0.140289
80;-1.091415;0.608124;-0.054230
81;-0.955765;0.760117;-0.059769
82;-0.829208;0.848877;0.037979
83;-0.850677;0.629288;-0.030853
84;-1.241562;0.840164;0.139297
85;-1.078659;0.495224;0.042450
86;-0.967804;0.350006;-0.029160
87;-1.057755;0.315964;-0.008011
88;-1.177841;0.286774;-0.058502
89;-1.335815;0.190491;-0.071228
90;-1.467682;0.122498;-0.095566
91;-1.646164;0.056183;-0.111694
92;-1.666458;0.083969;-0.183090
93;-1.363419;-0.108307;-0.206650
94;-1.393219;0.149933;-0.140091
95;-1.456604;0.371841;-0.156387
96;-1.386383;0.434845;-0.162491
97;-1.242691;0.448502;-0.206467
98;-1.137344;0.464111;-0.187576
99;-1.122070;0.523972;-0.159424
100;-1.081589;0.596420;-0.100098
101;-0.986481;0.608185;-0.094116
102;-0.841888;0.574982;-0.074020
103;-0.947815;0.649979;0.005280
104;-0.706711;0.435623;0.038300
105;-0.977081;0.520081;-0.020370
106;-1.125671;0.528442;-0.035309
107;-0.950439;0.341202;-0.038193
108;-0.901733;0.299805;-0.060776
109;-1.081726;0.382812;-0.093857
110;-1.269730;0.427017;-0.174728
111;-1.517227;0.365097;-0.138382
112;-1.817169;0.268860;-0.135666
113;-1.689713;-0.002563;-0.289307
114;-1.517654;-0.028473;-0.241943
115;-1.278625;-0.056503;-0.185089
116;-1.329239;0.208313;-0.125946
117;-1.275803;0.285812;-0.197937
118;-1.093231;0.312698;-0.234589
119;-1.052536;0.404297;-0.199600
120;-1.092667;0.468048;-0.141296
121;-1.157349;0.503616;-0.068481
122;-1.136520;0.584351;-0.007492
123;-1.129517;0.746872;0.030685
124;-0.918274;0.866592;0.054611
125;-1.027542;0.794357;-0.042633
126;-1.023102;0.712616;-0.102646
127;-0.980896;0.693192;-0.054855
128;-0.759308;0.396317;-0.013260
129;-0.714661;0.292206;0.000656
130;-0.901077;0.307465;0.069794
131;-1.075134;0.318161;0.043564
132;-1.406128;0.306015;0.028229
133;-1.586182;0.231308;-0.013321
134;-1.709793;0.112091;-0.056763
135;-1.651672;0.219986;-0.089401
136;-1.270218;-0.019623;-0.186356
137;-1.368668;0.214752;-0.095856
138;-1.284851;0.293457;-0.150772
139;-1.135437;0.328400;-0.160446
140;-1.032425;0.358856;-0.131607
141;-0.969849;0.399384;-0.106018
142;-1.026459;0.485672;-0.080109
