index;x;y;z
0;-0.266434;-0.285110;-0.757996
1;-0.201126;-0.226852;-0.491791
2;-0.364151;0.015198;-0.328842
3;-0.433624;0.041595;-0.316605
4;-0.397293;-0.378342;0.124588
5;-0.684082;0.184906;-0.529144
6;-1.223679;0.524643;-0.667526
7;-1.323410;0.649414;-1.011322
8;-1.746002;0.209930;-1.170609
9;-1.275818;0.017685;-1.731812
10;-0.913361;0.136780;-0.783005
11;-0.821121;0.245697;-0.573639
12;-0.608704;0.268646;-0.581223
13;-0.531189;0.266739;-0.579742
14;-0.552338;0.277481;-0.639435
15;-0.661835;0.272873;-0.658813
16;-0.682617;0.253677;-0.672974
17;-0.690842;0.220306;-0.709976
18;-0.695892;0.189529;-0.629623
19;-0.762024;0.169724;-0.703415
20;-0.752655;0.094467;-0.600616
21;-0.767136;0.142395;-0.634644
22;-0.740295;0.167725;-0.685730
23;-0.726456;0.155624;-0.635757
24;-0.741760;0.186417;-0.650116
25;-0.760330;0.178009;-0.635574
26;-0.747482;0.167786;-0.611130
27;-0.768707;0.161163;-0.624115
28;-0.807724;0.166916;-0.617264
29;-0.774338;0.153625;-0.593750
30;-0.783463;0.169983;-0.620071
31;-0.767639;0.161850;-0.617889
32;-0.766068;0.165527;-0.616470
33;-0.772064;0.175262;-0.623550
34;-0.753799;0.184418;-0.615845
35;-0.799911;0.195999;-0.619278
36;-0.754715;0.174423;-0.601227
37;-0.778320;0.181946;-0.613632
38;-0.766129;0.172119;-0.596680
39;-0.764465;0.174500;-0.609802
40;-0.784164;0.189377;-0.614014
41;-0.781326;0.184967;-0.603836
42;-0.767227;0.167465;-0.599319
43;-0.783493;0.167114;-0.594589
44;-0.776505;0.179428;-0.606201
45;-0.766235;0.183517;-0.614349
46;-0.768387;0.187103;-0.611252
47;-0.786606;0.191010;-0.623505
48;-0.765808;0.172455;-0.610199
49;-0.774063;0.173386;-0.599594
50;-0.777405;0.168457;-0.604553
51;-0.781326;0.170624;-0.594650
52;-0.769577;0.171860;-0.608597
53;-0.787628;0.187378;-0.617050
54;-0.786697;0.174377;-0.590164
55;-0.786346;0.176636;-0.605621
56;-0.762009;0.175049;-0.599960
57;-0.805557;0.179504;-0.605896
