index;x;y;z
0;0.016098;-0.715149;-0.683319
1;-0.005112;-0.715485;-0.730240
2;0.001266;-0.721649;-0.699524
3;0.007492;-0.720276;-0.703445
4;0.001312;-0.738998;-0.680283
5;-0.003860;-0.749466;-0.672241
6;-0.032898;-0.727417;-0.716507
7;-0.042221;-0.717545;-0.677948
8;-0.059799;-0.707886;-0.691406
9;-0.055878;-0.692978;-0.690170
10;-0.046570;-0.709930;-0.678268
11;-0.049667;-0.712677;-0.679169
12;-0.040405;-0.735977;-0.682846
13;-0.047409;-0.758987;-0.681335
14;-0.039703;-0.749146;-0.680771
15;-0.023346;-0.731796;-0.700974
16;-0.012970;-0.730911;-0.666763
17;-0.023041;-0.727631;-0.673828
18;-0.012619;-0.726990;-0.640137
19;-0.011627;-0.730789;-0.656998
20;-0.013199;-0.735291;-0.663849
21;-0.022598;-0.738708;-0.668961
22;-0.021790;-0.745605;-0.672684
23;-0.021500;-0.731674;-0.688354
24;-0.017288;-0.738739;-0.674423
25;-0.015381;-0.739975;-0.665543
26;-0.015076;-0.736282;-0.672089
27;-0.007507;-0.734955;-0.664734
28;-0.012115;-0.736526;-0.663376
29;-0.014481;-0.746170;-0.668350
30;-0.017334;-0.747284;-0.657639
31;-0.011536;-0.737137;-0.667877
32;-0.001404;-0.739258;-0.656799
33;-0.008194;-0.737869;-0.661942
34;-0.010010;-0.743149;-0.649017
35;-0.024185;-0.745590;-0.673676
36;-0.023987;-0.756149;-0.659744
37;-0.025467;-0.749542;-0.669785
38;-0.000031;-0.749878;-0.651993
39;0.002396;-0.737625;-0.661713
40;0.001175;-0.733719;-0.675690
41;-0.001541;-0.738266;-0.674408
42;0.001495;-0.739105;-0.670898
43;-0.012680;-0.740067;-0.654633
44;-0.018738;-0.746017;-0.672928
45;-0.024857;-0.747513;-0.674561
46;-0.017761;-0.742035;-0.665421
47;-0.014664;-0.732330;-0.667191
48;0.001465;-0.733704;-0.647018
49;0.000229;-0.739548;-0.650726
50;-0.021179;-0.735016;-0.662354
51;-0.019318;-0.748032;-0.665710
52;-0.023376;-0.742142;-0.664062
53;-0.006317;-0.744507;-0.663788
54;-0.012024;-0.738968;-0.678009
55;-0.009903;-0.749313;-0.654160
56;-0.012222;-0.738968;-0.664185
57;-0.007339;-0.734573;-0.657242
58;-0.008835;-0.737106;-0.662903
59;-0.008789;-0.743454;-0.673370
60;-0.006317;-0.744568;-0.679062
61;-0.003799;-0.744370;-0.669144
62;-0.014725;-0.734573;-0.640106
63;-0.017761;-0.731369;-0.640015
64;-0.026169;-0.721893;-0.661179
65;-0.017487;-0.736450;-0.655563
66;-0.023819;-0.726776;-0.646072
67;-0.021378;-0.706207;-0.623276
68;-0.004959;-0.709976;-0.551041
69;0.005096;-0.615784;-0.635742
70;0.048355;-0.525269;-0.677551
71;-0.028458;-0.314804;-0.742020
72;0.018082;-0.291870;-0.823334
73;-0.005264;-0.309326;-0.850311
74;-0.033630;-0.193100;-0.979874
75;-0.090607;-0.378113;-0.715073
76;0.213928;-0.769165;-0.739273
77;0.094803;-0.412216;-0.823959
78;-0.115326;-0.318848;-0.861465
79;-0.152908;-0.399994;-0.825821
80;-0.264954;-0.336807;-0.895187
81;-0.260513;-0.472458;-0.741730
82;-0.434143;-0.391907;-0.895294
83;-0.374557;-0.401031;-1.006073
84;-0.297287;-0.402527;-1.070465
85;-0.359283;-0.382721;-1.084885
86;-0.366425;-0.399033;-1.077805
87;-0.317947;-0.387634;-1.077286
88;-0.307922;-0.375595;-0.994629
89;-0.275406;-0.343613;-0.948593
90;-0.278259;-0.316986;-0.914627
91;-0.273010;-0.285141;-0.936935
92;-0.279602;-0.287750;-0.914597
93;-0.288940;-0.268814;-0.916351
94;-0.279236;-0.293839;-0.920532
95;-0.289230;-0.275757;-0.904526
96;-0.292953;-0.261810;-0.914368
97;-0.288315;-0.278473;-0.897827
98;-0.287003;-0.273560;-0.898224
99;-0.273422;-0.269012;-0.896011
100;-0.283463;-0.273849;-0.907394
101;-0.293900;-0.273056;-0.909073
102;-0.285309;-0.270386;-0.922623
103;-0.294449;-0.274307;-0.910904
104;-0.290543;-0.274490;-0.910416
105;-0.289886;-0.275635;-0.897278
106;-0.283783;-0.282806;-0.885483
