index;x;y;z
0;0.067520;-0.372803;-0.948288
1;0.061432;-0.400421;-0.938156
2;0.057724;-0.395630;-0.929001
3;0.045990;-0.412323;-0.883881
4;0.013474;-0.439941;-0.863632
5;0.023529;-0.462250;-0.832230
6;0.064758;-0.462692;-0.766129
7;0.013626;-0.301773;-0.730606
8;0.074539;-0.267365;-0.928635
9;0.130508;-0.465591;-1.097107
10;0.287643;-0.255096;-0.914810
11;0.170090;-0.335602;-0.945114
12;0.101791;-0.673691;-0.919861
13;-0.081940;-0.507248;-0.964645
14;-0.048218;-0.544479;-0.872849
15;-0.036591;-0.487595;-0.908752
16;-0.006317;-0.505417;-0.864471
17;0.034454;-0.528244;-0.831863
18;0.020599;-0.526077;-0.825653
19;-0.037186;-0.540009;-0.824387
20;-0.011108;-0.535309;-0.819412
21;-0.035217;-0.544724;-0.810516
22;-0.031891;-0.535095;-0.839218
23;-0.008286;-0.527344;-0.850449
24;-0.020081;-0.546967;-0.820160
25;-0.005219;-0.548203;-0.829865
26;-0.019409;-0.549820;-0.840576
27;-0.000336;-0.525681;-0.864807
28;-0.003967;-0.526367;-0.851852
29;-0.019608;-0.509338;-0.851852
30;-0.048355;-0.516541;-0.830872
31;-0.036819;-0.548523;-0.787918
32;-0.016800;-0.551788;-0.808823
33;-0.024063;-0.562759;-0.813843
34;-0.016083;-0.559799;-0.828278
35;-0.039047;-0.576996;-0.814255
36;-0.016739;-0.596207;-0.789795
37;0.018738;-0.602829;-0.739075
38;0.021011;-0.607361;-0.687057
39;0.038132;-0.680283;-0.553757
40;0.102448;-0.770248;-0.517075
41;-0.063477;-0.725998;-0.699219
42;-0.142746;-0.668869;-0.626587
43;-0.209061;-0.621002;-0.558228
44;-0.401764;-0.592163;-0.539047
45;-0.429626;-0.621689;-0.619370
46;-0.613205;-0.624023;-0.609940
47;-0.691605;-0.575241;-0.557297
48;-0.665787;-0.477707;-0.563690
49;-0.634308;-0.192749;-0.368225
50;-0.577637;0.379822;-0.184998
51;-0.656281;0.690887;-0.289871
52;-0.832199;0.951797;-0.150009
53;-0.918839;1.232910;-0.038284
54;-0.908585;1.316467;0.035080
55;-0.873184;1.310471;-0.071304
56;-0.867126;1.380371;-0.106735
57;-0.906067;1.429321;-0.092209
58;-0.889984;1.412415;-0.151337
59;-0.917328;1.323318;-0.050201
60;-1.045761;1.292755;0.023865
61;-1.060471;1.207199;-0.131866
62;-1.071411;1.164536;-0.323441
63;-1.016281;1.001770;-0.452881
64;-0.956070;0.720657;-0.357529
65;-0.816727;0.781784;-0.149521
66;-0.738220;1.039948;-0.081223
67;-0.683731;1.219452;-0.161011
68;-0.671997;1.311935;-0.223282
69;-0.644348;1.361572;-0.183640
70;-0.564392;1.269379;-0.183014
71;-0.527634;1.179718;-0.122314
72;-0.425858;1.048782;-0.080124
73;-0.426819;1.063431;-0.039993
74;-0.332779;1.087585;-0.013962
75;-0.342850;1.113159;0.013107
76;-0.264587;0.922424;0.020569
77;-0.403748;0.858002;-0.016998
78;-0.545090;0.995560;0.231796
79;-0.386398;0.949814;0.216217
80;-0.359787;0.969330;-0.030441
81;-0.558731;0.983292;-0.026413
82;-0.697922;1.009308;-0.005661
83;-0.694595;1.041687;-0.057739
84;-0.708557;1.117065;-0.068558
85;-0.788269;1.155716;-0.014511
86;-0.898499;1.168106;-0.026917
87;-0.968933;1.133316;-0.136002
88;-0.926224;0.918686;-0.211472
89;-0.918869;0.800659;-0.109283
90;-0.853241;0.992249;-0.039154
91;-0.789230;1.080292;-0.118820
92;-0.675323;1.063736;-0.155396
93;-0.561676;1.075500;-0.143448
94;-0.536163;1.094452;-0.051910
95;-0.470535;1.090408;-0.035278
96;-0.446976;1.044785;-0.063599
97;-0.423294;1.063629;-0.050186
98;-0.394531;1.145584;-0.063461
99;-0.356598;1.066223;-0.111191
100;-0.272491;1.027954;0.049057
101;-0.276367;0.926712;0.024841
102;-0.301743;1.088898;0.097107
103;-0.393494;1.004089;0.042496
104;-0.416641;0.869354;-0.000854
105;-0.417496;0.936798;-0.012680
106;-0.500046;1.066605;-0.080582
107;-0.631271;1.239227;-0.101501
108;-0.781082;1.273743;-0.103607
109;-1.007767;1.305939;-0.055664
110;-1.033066;1.053329;-0.160187
111;-1.126648;1.036591;-0.221222
112;-0.998489;0.715805;-0.192719
113;-0.956192;1.032745;-0.048584
114;-0.803589;1.165466;-0.183945
115;-0.726074;1.201736;-0.220474
116;-0.623886;1.222519;-0.106186
117;-0.592438;1.230927;-0.030838
118;-0.548172;1.203598;-0.014374
119;-0.474014;1.143646;-0.020996
120;-0.414566;1.037796;-0.029449
121;-0.384506;1.064972;0.000443
122;-0.262695;1.080551;-0.006973
123;-0.180969;1.114517;0.020828
124;-0.211273;0.961487;-0.121841
125;-0.429245;1.190308;-0.044495
126;-0.508163;1.038834;0.066818
127;-0.480774;0.842834;0.046448
128;-0.403839;0.925812;-0.044159
129;-0.485733;1.055115;-0.076248
130;-0.642334;1.228012;-0.053101
131;-0.855896;1.307388;-0.054276
132;-1.063522;1.208878;-0.035385
133;-1.117966;1.133514;-0.097015
134;-0.971451;1.016327;-0.153091
135;-0.774643;0.910614;-0.106979
136;-0.863251;0.833572;-0.030228
137;-0.789215;0.942230;0.017181
138;-0.850525;1.098999;-0.169693
139;-0.745453;1.151398;-0.184891
140;-0.670380;1.245667;-0.061066
141;-0.615402;1.324173;-0.050873
142;-0.555710;1.255615;-0.028320
143;-0.480377;1.148987;-0.058899
144;-0.371918;1.085861;-0.051315
145;-0.257980;1.113846;-0.020676
146;-0.299713;1.049042;-0.004471
147;-0.193924;0.874298;0.104034
148;-0.366608;1.043365;0.181580
149;-0.453415;0.993561;0.150330
150;-0.457077;0.882950;0.091309
151;-0.378967;0.858871;-0.005142
152;-0.431885;0.970703;-0.013992
153;-0.563309;1.120865;-0.070053
154;-0.728287;1.308792;-0.069092
155;-0.930557;1.403061;-0.084656
156;-1.108261;1.343948;-0.150589
157;-1.203186;1.193451;-0.234467
158;-1.003510;1.028763;-0.194672
159;-0.959290;0.757477;-0.093964
160;-0.795135;0.853714;-0.039413
161;-0.776871;0.942261;-0.090088
162;-0.717697;1.005188;-0.095551
163;-0.665695;1.086029;-0.132843
164;-0.673569;1.150848;-0.066589
165;-0.637177;1.191696;-0.056519
166;-0.593536;1.209030;-0.072067
167;-0.544189;1.383255;-0.029877
168;-0.294861;1.273132;0.050232
169;-0.176453;1.272461;0.151245
170;-0.075439;0.905273;-0.083374
171;-0.257233;1.023148;0.148682
172;-0.376389;1.098984;0.183609
173;-0.453461;0.844147;0.074524
174;-0.435547;0.849197;-0.053970
175;-0.535645;0.892029;-0.010803
176;-0.670639;0.990128;0.044983
177;-0.814789;1.148743;0.026001
178;-0.961334;1.172226;0.068878
179;-1.077423;1.189178;-0.012894
180;-1.153061;1.224319;-0.047714
181;-1.001068;0.871078;-0.079514
182;-0.999313;0.902695;-0.021912
183;-0.795486;0.920578;-0.032425
184;-0.754837;0.993484;-0.039505
185;-0.663910;0.999405;-0.020172
186;-0.625854;0.968704;-0.023727
187;-0.566513;0.974503;-0.030579
188;-0.503555;0.995377;-0.071320
189;-0.447769;1.129379;-0.100174
190;-0.495651;1.299393;-0.048080
191;-0.352783;1.290390;-0.039780
192;-0.119125;1.195618;-0.047058
193;0.066711;0.982941;-0.074875
194;-0.073563;1.329208;0.052734
195;-0.257996;1.258438;0.077606
196;-0.239044;0.920105;0.013947
197;-0.351028;0.852097;0.050674
198;-0.409515;0.986435;0.174103
199;-0.577377;1.274826;0.120789
200;-0.900421;1.730469;0.036255
201;-1.194397;1.922287;-0.019089
202;-2.008942;1.329132;-0.187500
203;-2.197891;0.745422;-0.359329
204;-2.270569;0.235031;-0.364349
205;-2.479141;1.135345;-0.095734
206;-2.351028;3.630722;-0.202240
207;-1.893158;5.004852;-0.423447
208;-0.766907;3.616180;-0.653992
209;0.271759;2.142548;-0.519196
210;1.083084;1.372192;-0.027817
211;1.094757;1.188370;0.268753
212;0.541901;0.936005;0.323944
213;-0.257843;0.724518;0.402374
214;-2.685959;0.409210;-0.279419
215;-3.773621;-1.117294;-1.353561
216;-1.803070;-1.849579;-0.361481
217;0.500900;-1.467361;-0.740250
218;0.925079;-1.222214;-0.297516
