index;x;y;z
0;0.076019;-0.437622;-0.891861
1;0.062256;-0.479874;-0.847672
2;0.114059;-0.477707;-0.851837
3;0.112640;-0.462418;-0.892105
4;0.077408;-0.452911;-0.883331
5;0.138107;-0.486526;-0.788834
6;0.139297;-0.454666;-0.878708
7;0.178802;-0.488312;-0.889664
8;0.093674;-0.459305;-1.024338
9;0.076263;-0.407822;-0.968704
10;0.132156;-0.427277;-0.875305
11;0.124039;-0.419800;-0.920776
12;0.074875;-0.473160;-0.899353
13;0.056854;-0.418793;-0.930878
14;0.066711;-0.464066;-0.837692
15;0.041870;-0.446320;-0.863205
16;0.032104;-0.418579;-0.856644
17;0.064911;-0.419449;-0.852036
18;0.074295;-0.429611;-0.853271
19;0.050354;-0.427551;-0.871719
20;0.061951;-0.460541;-0.858963
21;0.054199;-0.446701;-0.877136
22;0.044006;-0.474350;-0.867172
23;-0.003098;-0.463181;-0.888214
24;-0.005493;-0.415665;-0.668533
25;-0.046326;-0.406708;-0.362915
26;-0.213669;-0.335358;-0.586456
27;0.331284;-0.439163;-0.683105
28;0.681778;-0.216827;-0.962097
29;0.617172;-0.233612;-0.650009
30;0.687637;-0.408020;-1.065582
31;0.605240;-0.627487;-1.142929
32;0.468948;-0.459518;-1.190796
33;0.200333;-0.302460;-1.107895
34;0.263916;-0.391220;-0.750336
35;-0.171783;0.010071;-0.348160
36;-0.408142;0.013916;-0.054123
37;-0.994278;0.091324;-0.303436
38;-1.907196;-0.452469;-0.618484
39;-1.516403;-0.732849;-0.815338
40;-1.118896;-0.842316;-0.574234
41;-0.844971;-0.651199;-0.281128
42;-0.662827;-0.441757;-0.163193
43;-0.559982;-0.274048;-0.181641
44;-0.543503;-0.008148;-0.142731
45;-0.493515;0.141922;-0.154160
46;-0.814484;0.601151;-0.040680
47;-0.993301;0.561478;-0.105362
48;-1.399048;0.722549;-0.135162
49;-1.574585;0.855438;-0.093628
50;-1.362808;0.653717;-0.151840
51;-1.080109;0.575500;-0.177689
52;-1.067017;0.531372;-0.203918
53;-1.124008;0.582047;-0.192230
54;-1.145462;0.546799;-0.206192
55;-1.150330;0.399673;-0.228470
56;-1.289108;0.365936;-0.249664
57;-1.390152;0.349213;-0.259003
58;-1.422516;0.471481;-0.252914
59;-1.270996;0.267929;-0.245026
60;-1.327026;0.505646;-0.111526
61;-1.452789;0.753799;-0.071320
62;-1.371597;0.779831;-0.136810
63;-1.214752;0.829865;-0.134415
64;-1.102921;0.828278;-0.110657
65;-1.060135;0.817596;-0.092651
66;-0.923950;0.725403;-0.090118
67;-0.767151;0.613327;-0.113037
68;-0.691467;0.624039;-0.081161
69;-0.587570;0.581604;-0.077560
70;-0.657516;0.674332;-0.004898
71;-0.590302;0.453247;-0.043976
72;-0.787781;0.579224;0.024414
73;-0.996231;0.673279;0.077637
74;-1.054474;0.578308;0.106323
75;-0.995804;0.575897;0.039032
76;-1.106796;0.600998;-0.037384
77;-1.205414;0.724625;-0.078156
