index;x;y;z
0;0.052490;-0.547363;-0.769501
1;-0.017731;-0.574753;-0.762314
2;-0.001633;-0.561050;-0.827347
3;-0.013031;-0.579926;-0.820541
4;-0.065414;-0.570312;-0.843872
5;-0.081512;-0.578751;-0.828110
6;-0.067810;-0.592285;-0.773224
7;-0.062439;-0.595642;-0.774689
8;-0.046143;-0.582382;-0.802719
9;-0.045044;-0.581650;-0.780228
10;-0.048615;-0.604279;-0.773727
11;-0.027740;-0.591858;-0.820908
12;-0.034027;-0.592270;-0.824753
13;-0.044907;-0.592712;-0.831741
14;-0.031754;-0.574829;-0.830627
15;-0.038971;-0.574600;-0.804871
16;-0.038559;-0.577667;-0.749969
17;-0.056747;-0.610291;-0.752136
18;0.045227;-0.595947;-0.618744
19;-0.032318;-0.562439;-0.499069
20;0.049942;-0.464615;-0.426193
21;0.327194;-0.215225;-0.947784
22;0.474945;-0.405426;-0.886017
23;0.381516;-0.272522;-0.741684
24;0.192307;-0.301147;-0.803391
25;0.157242;-0.584824;-0.679779
26;0.045242;-0.378632;-0.670990
27;-0.216095;-0.329636;-0.717270
28;-0.213028;-0.237244;-0.732208
29;-0.612274;-0.067810;-0.581848
30;-0.712448;0.247223;-0.351257
31;-1.251358;0.635437;-0.533401
32;-1.330673;0.884796;-0.550644
33;-1.523819;0.880203;-0.217163
34;-1.655975;0.788849;-0.269974
35;-1.245667;0.553253;-0.326187
36;-1.047745;0.386429;-0.368286
37;-0.986298;0.372650;-0.316238
38;-0.948898;0.339630;-0.264008
39;-1.053024;0.427261;-0.237167
40;-1.258698;0.491379;-0.272430
41;-1.344925;0.422104;-0.319489
42;-1.445816;0.325897;-0.315521
43;-1.256317;0.120499;-0.323563
44;-1.188828;0.142426;-0.250977
45;-1.446609;0.395493;-0.137802
46;-1.443939;0.604065;-0.057800
47;-1.200760;0.534439;-0.091446
48;-1.018051;0.553452;-0.042374
49;-0.884659;0.519287;-0.035675
50;-0.756973;0.464020;0.014114
51;-0.722977;0.460571;-0.026276
52;-0.773026;0.499161;-0.035782
53;-0.859283;0.542862;-0.048569
54;-1.016235;0.620956;-0.076111
55;-1.016205;0.518646;-0.180222
56;-1.140076;0.579056;-0.213333
57;-1.096237;0.489243;-0.130356
58;-0.897842;0.495102;0.037292
59;-0.613663;0.396469;-0.073776
60;-0.717880;0.443680;-0.130493
61;-0.847931;0.468262;-0.150085
62;-1.013977;0.502792;-0.135284
63;-1.236298;0.513931;-0.130112
64;-1.364273;0.480957;-0.164017
65;-1.464264;0.429047;-0.208160
66;-1.408127;0.407043;-0.306061
67;-1.195114;0.137238;-0.377823
68;-1.151459;0.286850;-0.216812
69;-1.235703;0.419571;-0.182571
70;-1.178116;0.490295;-0.201401
71;-0.982590;0.522125;-0.202591
72;-0.912582;0.562347;-0.174057
73;-0.796829;0.563812;-0.154373
74;-0.825745;0.585953;-0.089874
75;-0.810577;0.580902;-0.082718
76;-0.949341;0.686646;-0.076553
77;-1.028748;0.755020;-0.100632
78;-0.972275;0.648590;-0.158417
79;-0.949417;0.551910;-0.192535
80;-0.905899;0.559296;0.027100
81;-0.771942;0.485489;0.155228
82;-0.586914;0.420700;0.138794
83;-0.626633;0.400894;0.072388
84;-0.860107;0.107544;0.235886
85;-0.997742;0.383118;-0.035294
86;-1.190018;0.568329;0.008972
87;-1.337387;0.553223;-0.017654
88;-1.424652;0.534698;-0.045807
89;-1.455582;0.623245;-0.120041
90;-1.058716;0.268204;-0.222870
91;-1.258606;0.322006;-0.255280
92;-1.209610;0.331284;-0.213104
93;-1.104874;0.379807;-0.200424
94;-0.929932;0.422043;-0.180099
95;-0.843567;0.494217;-0.151093
96;-0.781174;0.519547;-0.103607
97;-0.828247;0.541046;-0.099274
98;-0.873352;0.579178;-0.106049
99;-0.958969;0.692245;-0.086639
100;-0.980240;0.711349;-0.095062
101;-0.913956;0.669388;-0.047211
102;-0.816284;0.529480;-0.090530
103;-1.096252;0.705627;0.051849
104;-0.898422;0.531006;0.162689
105;-0.580704;0.399750;0.078918
106;-0.518082;0.360779;0.005707
107;-0.719131;0.445709;-0.016083
108;-0.807251;0.514023;-0.070969
109;-1.087555;0.559540;-0.139069
110;-1.148315;0.548187;-0.168152
111;-1.419327;0.577957;-0.132202
112;-1.548187;0.453613;-0.161011
113;-1.443970;0.196320;-0.219040
114;-1.422424;-0.004761;-0.273163
115;-1.125214;0.041885;-0.263077
116;-1.072601;0.105530;-0.363602
117;-0.993973;0.095398;-0.307480
118;-1.085754;0.181351;-0.266052
119;-1.066498;0.133804;-0.309250
120;-1.156570;0.225616;-0.246658
121;-0.926834;0.348785;-0.218826
122;-0.852402;0.485016;-0.201111
123;-0.839523;1.243790;-0.059998
124;-0.264145;1.191132;-0.099884
125;-1.081253;1.561172;0.044357
126;-1.593689;1.461563;-0.155075
127;-3.790131;1.106689;-0.106232
128;-2.936218;-0.132812;-0.410034
129;-2.024765;-1.319855;-0.076141
130;-0.681503;-2.178085;-0.404007
131;0.341202;-2.056152;-1.006012
132;-0.056763;-1.722137;-0.843994
133;-0.991714;-1.563736;-1.048157
134;-2.421112;-1.801743;-0.707092
135;-3.403809;-1.554352;-1.919174
136;-3.139694;-0.315628;-1.680237
137;-1.822571;0.857742;-0.370514
138;-1.238770;1.835205;-0.391556
139;-0.643326;1.706924;0.367081
140;-1.070786;1.067551;0.066727
141;-1.867386;-0.006058;0.259323
142;-3.861298;-2.103149;0.222260
143;-3.220276;-3.203781;-0.641327
144;-0.323608;-2.189468;-0.385437
145;1.628662;-1.881775;-0.594833
146;1.390732;-1.418976;-1.240723
147;0.088455;-1.319687;-0.599518
148;-1.025055;-2.076370;-0.160568
149;-3.095428;-3.676590;-0.521805
150;-3.314621;-2.047455;-0.353302
151;-1.961060;0.625839;-0.468002
152;-1.411560;2.330154;-0.388611
153;-0.910553;2.219330;0.070190
154;-1.657761;1.149963;0.046127
155;-3.009369;-0.681732;0.338211
156;-4.715668;-3.529373;0.332031
157;-1.816071;-3.473145;0.139389
158;1.391113;-1.973740;-0.307327
159;1.594986;-1.536942;-0.795914
160;1.107361;-1.241425;-0.837769
161;-0.606216;-1.744385;-0.315918
162;-2.139328;-4.031006;-0.588638
163;-3.473969;-3.748810;-0.995743
164;-2.896027;-0.622665;-0.785233
165;-1.888107;1.981461;-0.588928
166;-1.255814;2.660660;0.206055
167;-1.311035;1.504929;0.174820
168;-2.008636;0.128342;0.042572
169;-3.658340;-1.722336;0.289017
170;-3.940186;-3.321426;-1.076660
171;-1.275742;-2.955948;-0.180878
172;0.880432;-1.968887;-0.965927
173;1.785385;-1.553085;-0.993835
174;1.126343;-1.099014;-0.999756
175;-0.695480;-1.792130;-0.459610
176;-2.387573;-3.534607;-0.662003
177;-3.808716;-2.547791;-0.743439
178;-2.214645;0.254547;-0.403702
179;-0.804016;2.284088;-0.393326
180;-0.850510;2.099777;0.195618
181;-1.420761;1.048676;0.264526
182;-2.244904;-0.133789;-0.042694
183;-5.297089;-3.370956;-0.539825
184;-2.052734;-3.000000;-0.500275
185;0.625107;-1.566681;-0.572067
186;1.618195;-1.118759;-0.826538
187;1.521210;-0.895004;-0.730362
188;0.195984;-1.161743;-0.467056
189;-1.634201;-3.412933;-0.222046
190;-3.508865;-3.574799;-0.863770
191;-2.560440;-0.824020;-0.679977
192;-1.373093;1.425980;-0.213562
193;-0.719421;2.222183;0.080185
194;-0.786499;1.706787;0.353409
195;-1.482849;0.995987;-0.048309
196;-2.986282;-0.928528;-0.313370
197;-5.008606;-3.300827;-1.296936
198;-1.562057;-2.621506;-0.629715
199;0.508835;-1.588120;-0.826889
200;1.231857;-1.369537;-0.631241
201;1.040741;-0.940063;-0.439072
202;0.291763;-0.704575;-0.507294
203;-0.914383;-1.296692;-0.393356
204;-4.253845;-2.798248;-0.704208
205;-2.417374;-0.847458;-0.399323
206;-1.064529;0.423691;0.102280
207;-0.414429;0.919418;0.166092
208;-0.156708;1.176224;0.148453
209;-0.239960;0.998077;0.207611
210;-0.852524;0.622498;-0.062531
211;-2.583694;-0.418762;-0.183731
212;-3.847168;-1.854980;-0.514496
213;-1.638504;-1.115112;-0.956207
