index;x;y;z
0;0.184219;-0.363037;-0.873779
1;0.147766;-0.388504;-0.850510
2;0.161530;-0.356750;-0.836212
3;0.221237;-0.344299;-0.939377
4;0.099991;-0.432449;-0.937027
5;0.420822;-0.339386;-0.841187
6;0.207489;-0.261032;-0.240295
7;0.404648;-0.667847;-0.847183
8;0.354980;-0.462708;-0.985565
9;0.452332;-0.321136;-0.978928
10;0.164322;-0.207367;-0.926468
11;0.050339;-0.213089;-0.821701
12;0.106644;-0.328659;-0.917374
13;-0.003464;-0.267120;-0.839844
14;-0.093185;-0.134796;-0.745651
15;-0.366287;-0.054733;-0.976715
16;-0.344864;-0.205017;-0.760696
17;-0.370087;-0.178177;-0.854813
18;-0.268768;-0.099426;-0.479858
19;-0.686142;0.254364;-0.333878
20;-0.787994;0.428482;-0.257935
21;-1.243927;0.651276;-0.249619
22;-1.540131;0.737701;-0.226959
23;-1.737793;0.749252;-0.337997
24;-1.337997;0.474640;-0.505249
25;-1.257080;0.494202;-0.406418
26;-1.085587;0.398743;-0.350906
27;-1.029709;0.360260;-0.315247
28;-0.958694;0.286316;-0.259247
29;-0.992188;0.256500;-0.259705
30;-1.127625;0.289871;-0.318451
31;-1.283768;0.267929;-0.419891
32;-1.345352;0.159424;-0.450821
33;-1.388672;0.224335;-0.360474
34;-1.237701;0.217590;-0.115906
35;-1.265625;0.489731;-0.029633
36;-1.357864;0.762253;-0.076248
37;-1.212082;0.738266;-0.143951
38;-1.205765;0.727295;-0.100555
39;-1.063675;0.697479;-0.101562
40;-0.891968;0.619064;-0.082321
41;-0.708328;0.508469;-0.094818
42;-0.591522;0.470795;-0.058258
43;-0.548203;0.478653;-0.036316
44;-0.497635;0.469269;0.009583
45;-0.742798;0.693649;0.066818
46;-0.902420;0.657898;0.090637
47;-1.328583;0.862213;0.098663
48;-1.473038;0.805939;0.005539
49;-1.407242;0.672302;-0.025620
50;-1.264954;0.567429;-0.103714
51;-1.166275;0.565765;-0.181335
52;-1.142517;0.568588;-0.177338
53;-1.109207;0.482925;-0.182343
54;-1.064850;0.372803;-0.223419
55;-1.168335;0.292999;-0.200821
56;-1.213684;0.213760;-0.234726
57;-1.479370;0.386856;-0.280029
58;-1.339157;0.223022;-0.270737
59;-1.467834;0.677841;-0.079559
60;-1.476212;0.824646;-0.049088
61;-1.390442;1.121643;-0.022949
62;-1.302002;1.039627;0.021805
63;-1.299469;0.896683;-0.004639
64;-1.136963;0.878815;-0.010101
65;-0.961899;0.776031;-0.079758
66;-0.737061;0.658829;-0.086548
67;-0.542007;0.627823;-0.042404
68;-0.260712;0.542496;-0.013260
69;-0.480179;0.701950;0.084778
70;-0.632004;0.673050;0.057846
71;-0.923569;0.770020;0.197830
72;-1.143188;0.824905;0.233643
73;-1.292175;0.860229;0.165100
74;-1.361496;0.919632;0.040359
75;-1.410614;0.853088;-0.006058
76;-1.492645;0.827881;-0.045944
77;-1.472031;0.711227;-0.153030
78;-1.355835;0.504959;-0.196350
79;-1.325851;0.497849;-0.158142
80;-1.214996;0.343262;-0.216385
81;-1.338837;0.308304;-0.272995
82;-1.251373;0.039810;-0.424179
83;-1.311966;0.432785;-0.168839
84;-1.311951;0.668518;-0.155716
85;-1.436417;0.890305;-0.055954
86;-1.300934;1.118134;-0.189255
87;-1.339355;0.973679;-0.106750
88;-1.262360;0.913910;-0.067200
89;-1.088516;0.849014;-0.097580
90;-0.889679;0.715820;-0.111832
91;-0.870544;0.779800;-0.068497
92;-0.752655;0.687393;-0.078568
93;-0.684402;0.698135;0.014847
94;-0.601212;0.512329;0.014786
95;-0.686523;0.568069;0.126251
96;-0.780121;0.541809;0.148956
97;-0.785049;0.574860;0.148407
98;-0.889481;0.605408;0.091675
99;-1.166611;0.750244;0.197266
100;-1.485153;0.828552;0.191330
101;-1.671204;0.691345;0.155441
102;-1.816711;0.518906;0.082901
103;-1.592224;0.494904;-0.158463
104;-1.394623;0.583511;-0.243652
105;-1.085403;0.305603;-0.357513
106;-1.176941;0.296600;-0.336166
107;-0.989792;0.219254;-0.285568
108;-1.046478;0.394730;-0.175278
109;-1.139328;0.476974;-0.131760
110;-1.321274;0.640656;-0.012360
111;-1.330856;0.805939;-0.019226
112;-1.288879;0.867172;-0.055923
113;-1.094208;0.796524;-0.080872
114;-1.010513;0.798492;-0.014786
115;-0.835648;0.803192;0.033112
116;-0.619843;1.015488;0.166046
117;-0.583679;0.968613;0.098450
118;-0.822250;1.084763;0.125931
119;-0.915161;0.883667;0.150146
120;-0.909470;0.729202;0.133728
121;-0.986755;0.671356;0.047607
122;-1.114410;0.708191;0.030869
123;-1.226730;0.720459;-0.011169
124;-1.447479;0.734238;-0.022659
125;-1.478226;0.550476;-0.139435
126;-1.504349;0.369385;-0.212418
127;-1.479095;0.343338;-0.203659
128;-1.207123;0.168930;-0.188889
129;-1.124725;0.327637;-0.187759
130;-1.176102;0.528656;-0.177460
131;-1.134506;0.600830;-0.210220
132;-1.147095;0.401566;-0.267197
133;-1.208191;0.588913;-0.194778
134;-1.273514;0.635361;-0.176620
135;-1.087570;0.718735;-0.078217
136;-0.998169;0.855484;-0.012741
137;-0.954224;1.155579;0.029633
138;-0.391510;1.305115;-0.039520
139;-0.530380;1.178436;-0.094727
140;-1.666183;1.043945;0.009750
141;-2.347076;1.079895;0.277191
142;-2.358032;0.724884;0.155441
143;-1.519852;0.242508;-0.199905
144;-0.885681;-0.645248;-0.253632
145;-0.624313;-1.339218;-0.723740
146;-0.411270;-1.860062;-0.890015
147;-1.193878;-1.836700;-0.767838
148;-1.838852;-1.145706;-0.747421
149;-3.350266;-0.560043;-0.672302
150;-3.412048;0.034271;-0.853668
