index;x;y;z
0;0.038116;-0.294647;-0.999771
1;-0.046173;-0.348160;-0.847549
2;-0.029358;-0.524536;-0.739273
3;-0.032791;-0.462097;-0.829254
4;0.008926;-0.472000;-0.788849
5;0.012405;-0.523987;-0.762238
6;0.038055;-0.550339;-0.800537
7;-0.000366;-0.535843;-0.830917
8;0.018066;-0.523453;-0.816925
9;-0.003433;-0.546967;-0.816055
10;-0.014999;-0.534317;-0.854630
11;-0.007431;-0.543503;-0.844269
12;-0.012924;-0.567459;-0.831390
13;0.008850;-0.564117;-0.820862
14;0.014084;-0.566528;-0.810577
15;0.013824;-0.560699;-0.810333
16;0.022659;-0.549957;-0.812378
17;0.014282;-0.556396;-0.810165
18;0.014923;-0.562439;-0.811676
19;0.002457;-0.568024;-0.800049
20;-0.013870;-0.577957;-0.804764
21;-0.008224;-0.591660;-0.794128
22;-0.011688;-0.584305;-0.817368
23;-0.005829;-0.590027;-0.800690
24;-0.007721;-0.591934;-0.798538
25;0.002167;-0.580032;-0.797165
26;0.005646;-0.578079;-0.814728
27;0.009338;-0.584778;-0.772598
28;0.018509;-0.591507;-0.770004
29;0.008316;-0.605103;-0.759323
30;-0.055771;-0.573471;-0.630798
31;-0.045578;-0.507874;-0.384872
32;-0.016388;-0.199219;-0.298828
33;0.331345;-0.576096;-0.751724
34;0.214783;-0.257080;-0.900879
35;0.553299;-0.393860;-0.380051
36;-0.237000;-0.229904;-0.345459
37;-0.117050;-0.244400;-0.281326
38;-0.382828;-0.200302;-0.374741
39;-0.512421;0.226105;-0.411697
40;-0.952682;0.605072;-0.464722
41;-1.194031;1.376297;-0.335815
42;-1.717026;2.206635;-0.203781
43;-1.900208;1.821564;-0.783142
44;-1.427414;1.192780;-0.611191
45;-0.978317;0.841339;-0.364395
46;-0.784668;0.614471;-0.262589
47;-0.723953;0.377533;-0.246185
48;-0.773499;0.341965;-0.259552
49;-0.715805;0.325256;-0.331543
50;-0.756744;0.271973;-0.379623
51;-0.828888;0.262238;-0.437943
52;-1.054810;0.415039;-0.342224
53;-1.296509;0.592957;-0.352325
54;-1.492493;0.787811;-0.335663
55;-1.332611;0.756027;-0.368164
56;-1.535309;0.993332;-0.336121
57;-1.477997;1.185150;-0.198456
58;-1.290604;1.070023;-0.200226
59;-1.005981;0.891510;-0.094818
60;-0.844086;0.739273;-0.078140
61;-0.746933;0.611755;-0.080170
62;-0.613525;0.527100;-0.081436
63;-0.528427;0.509628;-0.110382
64;-0.507721;0.615768;-0.058487
65;-0.522949;0.657608;-0.096909
66;-0.634521;0.790329;0.019760
67;-0.840134;0.856125;-0.019684
68;-1.091110;0.957428;0.021896
69;-1.250702;0.988724;0.066193
70;-1.223068;1.000961;-0.140427
71;-1.167633;0.998505;-0.196884
72;-1.378601;1.117737;-0.136871
73;-1.343323;0.966599;-0.187073
74;-1.352188;0.768341;-0.207474
75;-1.393829;0.645081;-0.132675
76;-1.267242;0.383514;-0.271896
77;-1.360657;0.375229;-0.313232
78;-1.462097;0.429062;-0.377914
79;-1.281998;0.687836;-0.162781
80;-1.239960;0.910919;-0.223450
81;-1.273193;1.066727;-0.067734
82;-1.277771;1.165329;-0.080475
83;-1.338287;1.315155;-0.103973
84;-1.257812;1.287186;-0.100464
85;-1.059204;1.109711;-0.129227
86;-0.852310;0.996567;-0.096313
87;-0.582382;0.888275;-0.050125
88;-0.384430;0.783737;-0.045685
89;-0.388397;0.742279;0.110489
90;-0.605438;0.822922;0.122620
91;-0.672897;0.791504;0.155807
92;-0.764160;0.729431;0.147980
93;-0.771927;0.755997;0.083099
94;-0.956161;0.978424;0.033844
95;-1.255051;1.233185;-0.043457
96;-1.524048;1.363571;-0.185913
97;-1.679138;1.128433;-0.257675
98;-1.704697;0.952194;-0.199326
99;-1.334702;0.604034;-0.151413
100;-1.278320;0.592575;-0.092911
101;-1.191025;0.197189;-0.229660
102;-1.246246;0.392761;-0.256927
103;-1.187500;0.572433;-0.271698
104;-1.121063;0.709030;-0.213486
105;-1.063049;0.853287;-0.191360
106;-1.110306;1.005371;-0.074188
107;-1.135330;1.085709;-0.087280
108;-1.105209;1.052399;-0.172501
109;-1.025970;1.020447;-0.111954
110;-0.978912;1.065247;-0.068192
111;-0.675049;0.906982;-0.072479
112;-0.528641;1.168243;0.076874
113;-0.307556;0.684357;-0.060272
114;-0.590225;1.027298;0.012665
115;-0.623016;0.875107;0.068451
116;-0.706192;0.668472;0.059723
117;-0.786041;0.730927;0.066483
118;-0.955597;0.893585;0.107086
119;-1.101913;1.112534;-0.177811
120;-1.368042;1.145569;-0.077164
121;-1.522263;0.982285;-0.159790
122;-1.558182;0.717804;-0.250412
123;-1.569962;0.825333;-0.179703
124;-1.214294;0.289886;-0.219940
125;-1.130539;0.445770;-0.091248
126;-1.105347;0.573364;-0.159409
127;-1.117691;0.705811;-0.143692
128;-1.084595;0.821793;-0.145584
129;-1.142410;0.980011;-0.084442
130;-1.108124;1.042755;-0.097610
131;-1.050125;1.052216;-0.125931
132;-1.012711;1.069595;-0.089371
133;-0.949539;1.116516;-0.024963
134;-0.752731;1.498337;0.195282
135;-0.020538;0.866135;0.053146
136;-0.435165;1.057678;-0.060638
137;-0.629562;1.033813;0.128525
138;-0.826996;0.712143;0.166809
139;-0.750015;0.652557;0.065491
140;-0.872513;0.745148;0.088654
141;-1.144165;1.033279;0.047485
142;-1.544144;0.962555;-0.079926
143;-2.282547;0.624176;-0.528915
144;-2.165604;0.057846;-0.379150
145;-1.733963;-0.421951;-0.575577
146;-1.549774;-0.686493;-0.574539
147;-1.512924;-0.247269;-0.587143
148;-2.535675;0.663162;-0.687759
149;-2.931732;1.569901;-0.595734
150;-2.691406;1.977997;-0.641663
151;-1.163605;2.023834;-0.550690
152;0.555222;1.886429;-0.395218
153;0.544189;1.883331;0.325806
154;0.223145;1.362442;0.104553
155;-1.031189;1.044342;0.284286
156;-2.864471;-0.641388;0.229691
