index;x;y;z
0;0.067520;-0.480301;-0.890366
1;-0.032913;-0.485229;-0.997482
2;-0.042923;-0.431351;-0.951935
3;0.000351;-0.486420;-0.829193
4;0.016846;-0.493896;-0.839371
5;0.013855;-0.510849;-0.816299
6;0.003448;-0.508331;-0.864532
7;-0.001312;-0.486816;-0.914978
8;0.010056;-0.492584;-0.899368
9;0.020203;-0.509567;-0.865860
10;-0.001083;-0.514740;-0.857529
11;0.014450;-0.498657;-0.853943
12;0.020172;-0.490738;-0.851959
13;0.007233;-0.489655;-0.854355
14;0.014313;-0.476532;-0.863159
15;0.037918;-0.481903;-0.851425
16;0.029709;-0.492310;-0.838135
17;0.020782;-0.490860;-0.859161
18;0.017670;-0.501846;-0.878616
19;0.010162;-0.502502;-0.884766
20;0.016083;-0.500290;-0.870850
21;0.025253;-0.493210;-0.854446
22;0.027618;-0.498474;-0.859207
23;0.014343;-0.500854;-0.850540
24;0.000473;-0.488617;-0.877563
25;0.022919;-0.506775;-0.855911
26;0.003845;-0.498398;-0.880325
27;0.001007;-0.502319;-0.856415
28;-0.004501;-0.502579;-0.856781
29;0.000916;-0.492920;-0.847061
30;-0.002731;-0.495789;-0.852249
31;0.007294;-0.500351;-0.846039
32;0.010681;-0.504944;-0.864990
33;0.012177;-0.504974;-0.865326
34;0.009689;-0.504807;-0.871735
35;0.011108;-0.496048;-0.868073
36;0.005997;-0.490509;-0.861008
37;0.004654;-0.492599;-0.841568
38;0.002991;-0.493179;-0.851959
39;0.013748;-0.499283;-0.854416
40;0.006042;-0.508987;-0.868866
41;-0.000992;-0.497375;-0.880310
42;0.005615;-0.495163;-0.860779
43;0.009705;-0.478989;-0.868225
44;0.022522;-0.470490;-0.846451
45;0.006287;-0.472610;-0.872986
46;0.002335;-0.485992;-0.856552
47;-0.016479;-0.481995;-0.874405
48;-0.004730;-0.477448;-0.855164
49;-0.013748;-0.485840;-0.869568
50;-0.009171;-0.504288;-0.862854
51;-0.006210;-0.492447;-0.877808
52;-0.014557;-0.510971;-0.851929
53;-0.011017;-0.508499;-0.862671
54;-0.009277;-0.524292;-0.827896
55;-0.007294;-0.548706;-0.836807
56;-0.057343;-0.559860;-0.863831
57;-0.063766;-0.508362;-0.810425
58;0.069901;-0.537659;-0.797089
59;0.154022;-0.527359;-0.656097
60;0.159317;-0.459366;-0.797409
61;0.111145;-0.358536;-0.967010
62;0.107315;-0.303772;-0.321960
63;0.207993;-0.227264;-0.530426
64;0.338104;-0.561523;-0.954483
65;0.247437;-0.488098;-0.865723
66;-0.021271;-0.483536;-0.972046
67;-0.025131;-0.587006;-1.011353
68;-0.166794;-0.479080;-0.729858
69;-0.472183;-0.149612;-0.806259
70;-0.449875;-0.092773;-0.533295
71;-0.759567;0.231339;-0.484116
72;-1.102737;0.469040;-0.365128
73;-1.326843;0.797531;-0.530991
74;-1.356125;0.813614;-0.553055
75;-1.261398;0.621765;-0.448029
76;-1.122879;0.442734;-0.316055
77;-1.049240;0.409622;-0.215942
78;-0.996140;0.446350;-0.230484
79;-0.997757;0.422821;-0.294693
80;-1.138092;0.457275;-0.314224
81;-1.168533;0.355225;-0.297256
82;-1.280884;0.382339;-0.261887
83;-1.272781;0.303162;-0.259369
84;-1.273422;0.370621;-0.253265
85;-1.199997;0.327682;-0.336105
86;-1.154709;0.235413;-0.388916
87;-1.236267;0.487167;-0.277893
88;-1.405975;0.665588;-0.317535
89;-1.292770;0.738068;-0.238983
90;-1.234222;0.765762;-0.190903
91;-1.120239;0.682007;-0.180084
92;-1.062912;0.656021;-0.154449
93;-0.940933;0.616135;-0.121414
94;-0.756958;0.497772;-0.135208
95;-0.706223;0.531769;-0.103775
96;-0.611694;0.514374;-0.086792
97;-0.652344;0.536530;-0.028519
98;-0.746338;0.552704;0.003754
99;-0.856125;0.571457;-0.013016
100;-1.183838;0.696396;0.123932
101;-1.276901;0.603073;0.230133
102;-1.228851;0.550842;0.307678
103;-1.043091;0.461380;0.164963
104;-1.070602;0.505035;0.106796
105;-1.072662;0.543823;-0.010086
106;-1.156723;0.582428;-0.057541
107;-1.187241;0.504288;-0.051376
108;-1.249420;0.382629;-0.103745
109;-1.374283;0.389893;-0.069397
110;-1.362808;0.371216;-0.121109
111;-1.358063;0.359360;-0.146103
112;-1.232941;0.388245;-0.105499
113;-1.049850;0.458481;-0.126862
114;-1.105103;0.692795;-0.077652
115;-1.185730;0.788864;-0.128540
116;-1.242706;0.751053;-0.155609
117;-1.178497;0.714035;-0.116791
118;-1.061584;0.669205;-0.107330
119;-0.897141;0.693329;-0.112045
120;-0.755157;0.623230;-0.088882
121;-0.773758;0.478638;0.030746
122;-0.758118;0.502945;0.074722
123;-0.741943;0.484894;0.078201
124;-0.770218;0.479172;0.124802
125;-0.852905;0.431076;0.176392
126;-1.019852;0.528809;0.191544
127;-1.185547;0.622269;0.153564
128;-1.148651;0.594574;0.018295
129;-1.051315;0.534210;-0.046448
130;-1.111282;0.549255;-0.053101
131;-1.192703;0.571671;0.019974
132;-1.257034;0.508057;0.038528
133;-1.210785;0.378769;0.012360
134;-1.207901;0.287613;-0.008163
135;-1.237091;0.323120;-0.028854
136;-1.206024;0.319626;-0.070084
137;-1.279907;0.472183;-0.108353
138;-1.295746;0.458649;-0.212463
139;-1.173996;0.432007;-0.149841
140;-1.212601;0.617249;-0.077728
141;-1.292694;0.792709;-0.024384
142;-1.323639;0.870056;-0.057465
143;-1.315887;0.890457;0.013275
144;-1.144379;0.846771;0.038528
145;-0.888748;0.688309;0.014969
146;-0.721695;0.523544;-0.037460
147;-0.570663;0.397598;-0.067886
148;-0.556793;0.411026;-0.002396
149;-0.527374;0.328033;0.027832
150;-0.711456;0.416901;0.026062
151;-0.809387;0.487823;0.012756
152;-1.072083;0.588531;0.026276
153;-1.156754;0.515167;0.047958
154;-1.351639;0.517242;0.088913
155;-1.461014;0.502960;0.142426
156;-1.260834;0.352478;0.038986
157;-1.092209;0.380432;0.025482
158;-1.004547;0.402054;0.022812
159;-0.935471;0.365417;-0.013260
160;-0.928284;0.318848;0.059738
161;-0.903259;0.259048;0.087753
162;-1.082504;0.345657;0.081650
163;-1.098785;0.432922;0.049683
164;-0.916351;0.448196;0.013626
165;-0.800507;0.524979;0.029831
166;-0.753967;0.579025;0.025131
167;-0.815643;0.615341;0.053680
168;-0.845398;0.597580;0.023834
169;-0.859909;0.605560;-0.024704
170;-0.832382;0.583725;-0.009125
171;-0.779724;0.565140;-0.004990
172;-0.837341;0.554260;0.014618
173;-0.850647;0.517670;0.010345
174;-0.872223;0.492157;0.007416
175;-0.881836;0.465179;0.013824
176;-0.897018;0.494858;0.025742
177;-0.889404;0.469452;-0.003601
178;-0.886307;0.467102;0.001968
179;-0.887238;0.462250;0.015060
180;-0.887222;0.466614;0.010086
181;-0.880798;0.462967;-0.008255
182;-0.898834;0.467758;0.006134
183;-0.887848;0.467529;0.007919
184;-0.890930;0.455841;-0.013458
185;-0.883209;0.470932;0.000717
186;-0.880692;0.467880;-0.004807
187;-0.898819;0.471207;0.001419
188;-0.893494;0.473969;-0.004257
189;-0.888214;0.488480;0.003006
190;-0.879456;0.486389;0.011688
